filename,width,height,class,xmin,ymin,xmax,ymax
86.png,200,200,rect,119,55,134,143
87.png,200,200,rect,90,0,73,122
88.png,200,200,rect,47,58,108,53
89.png,200,200,rect,81,171,192,138
90.png,200,200,rect,168,90,162,196
91.png,200,200,rect,28,60,90,71
92.png,200,200,rect,56,111,170,106
93.png,200,200,rect,118,129,191,131
94.png,200,200,rect,38,0,71,74
95.png,200,200,rect,53,125,195,126
96.png,200,200,rect,49,102,136,84
97.png,200,200,rect,116,59,128,121
98.png,200,200,rect,10,87,109,18
99.png,200,200,rect,5,44,88,19
100.png,200,200,rect,139,84,149,147
101.png,200,200,rect,92,88,158,105
102.png,200,200,rect,107,95,151,154
103.png,200,200,rect,108,123,192,139
104.png,200,200,rect,52,104,181,104
105.png,200,200,rect,40,37,108,41
106.png,200,200,rect,66,93,142,95
107.png,200,200,rect,52,148,179,72
108.png,200,200,rect,49,89,132,87
109.png,200,200,rect,10,97,128,68
110.png,200,200,rect,94,3,50,105
111.png,200,200,rect,81,167,173,84
112.png,200,200,rect,89,139,161,135
113.png,200,200,rect,55,50,129,58
114.png,200,200,rect,180,11,35,188
115.png,200,200,rect,99,143,166,133
116.png,200,200,rect,94,24,50,139
117.png,200,200,rect,111,154,164,158
118.png,200,200,rect,145,147,186,171
119.png,200,200,rect,37,96,139,39
120.png,200,200,rect,74,52,80,140
121.png,200,200,rect,84,26,88,154
122.png,200,200,rect,163,124,150,165
123.png,200,200,rect,20,36,83,57
124.png,200,200,rect,11,93,133,78
125.png,200,200,rect,87,15,80,120
126.png,200,200,rect,14,133,180,64
127.png,200,200,rect,2,163,176,68
128.png,200,200,rect,90,10,67,104
129.png,200,200,rect,54,66,102,117
130.png,200,200,rect,22,72,82,77
131.png,200,200,rect,126,174,175,146
132.png,200,200,rect,18,149,196,71
133.png,200,200,rect,33,122,198,55
134.png,200,200,rect,22,153,176,64
135.png,200,200,rect,13,33,42,21
136.png,200,200,rect,45,74,150,46
137.png,200,200,rect,143,113,146,189
138.png,200,200,rect,143,4,18,193
139.png,200,200,rect,110,110,145,137
140.png,200,200,rect,68,17,37,88
141.png,200,200,rect,120,4,23,139
142.png,200,200,rect,42,126,199,73
143.png,200,200,rect,24,109,156,77
144.png,200,200,rect,162,92,170,171
145.png,200,200,rect,18,91,147,73
146.png,200,200,rect,11,35,71,51
147.png,200,200,rect,150,195,199,185
148.png,200,200,rect,117,4,19,126
149.png,200,200,rect,0,94,147,5
150.png,200,200,rect,181,121,199,193
151.png,200,200,rect,146,69,140,147
152.png,200,200,rect,34,49,98,105
153.png,200,200,rect,40,94,163,65
154.png,200,200,rect,64,9,40,132
155.png,200,200,rect,120,118,150,196
156.png,200,200,rect,94,47,52,128
157.png,200,200,rect,64,51,128,124
158.png,200,200,rect,36,18,93,112
159.png,200,200,rect,68,123,131,111
160.png,200,200,rect,31,23,81,104
161.png,200,200,rect,65,105,179,77
162.png,200,200,rect,50,37,105,68
163.png,200,200,rect,144,16,56,173
164.png,200,200,rect,166,179,189,179
165.png,200,200,rect,21,124,125,100
166.png,200,200,rect,8,48,67,44
167.png,200,200,rect,135,121,137,188
168.png,200,200,rect,119,106,160,198
169.png,200,200,rect,126,6,74,170
170.png,200,200,rect,137,10,76,194
171.png,200,200,rect,114,141,170,123
172.png,200,200,rect,95,164,165,104
173.png,200,200,rect,25,118,135,69
174.png,200,200,rect,73,84,148,150
175.png,200,200,rect,85,192,199,155
176.png,200,200,rect,48,23,25,63
177.png,200,200,rect,20,86,141,59
178.png,200,200,rect,158,179,182,186
179.png,200,200,rect,14,101,138,82
180.png,200,200,rect,83,95,159,149
181.png,200,200,rect,60,157,171,128
182.png,200,200,rect,147,88,89,196
183.png,200,200,rect,154,89,168,193
184.png,200,200,rect,97,118,164,136
185.png,200,200,rect,61,112,185,66
186.png,200,200,rect,137,33,59,154
187.png,200,200,rect,18,28,85,56
188.png,200,200,rect,122,37,86,177
189.png,200,200,rect,59,48,63,101
190.png,200,200,rect,89,131,147,123
191.png,200,200,rect,66,123,174,97
192.png,200,200,rect,40,28,89,102
193.png,200,200,rect,15,107,125,60
194.png,200,200,rect,5,15,45,13
195.png,200,200,rect,70,134,191,140
196.png,200,200,rect,108,50,129,179
197.png,200,200,rect,12,5,35,78
198.png,200,200,rect,25,60,139,94
199.png,200,200,rect,41,105,130,58
200.png,200,200,rect,26,21,88,51
201.png,200,200,rect,132,154,199,187
202.png,200,200,rect,36,91,165,78
203.png,200,200,rect,72,74,111,151
204.png,200,200,rect,63,155,199,91
205.png,200,200,rect,113,151,195,117
206.png,200,200,rect,55,65,127,115
207.png,200,200,rect,66,164,168,116
208.png,200,200,rect,102,72,151,138
209.png,200,200,rect,165,37,110,177
210.png,200,200,rect,115,81,157,164
211.png,200,200,rect,55,22,97,95
212.png,200,200,rect,120,134,149,130
213.png,200,200,rect,23,130,141,100
214.png,200,200,rect,134,96,106,179
215.png,200,200,rect,18,29,107,45
216.png,200,200,rect,79,166,198,139
217.png,200,200,rect,106,127,196,142
218.png,200,200,rect,79,76,139,99
219.png,200,200,rect,24,132,135,98
220.png,200,200,rect,152,32,70,176
221.png,200,200,rect,86,0,72,149
222.png,200,200,rect,130,35,39,155
223.png,200,200,rect,94,41,47,172
224.png,200,200,rect,160,45,107,168
225.png,200,200,rect,123,164,197,124
226.png,200,200,rect,101,66,95,150
227.png,200,200,rect,25,173,195,88
228.png,200,200,rect,50,64,104,120
229.png,200,200,rect,117,159,178,179
230.png,200,200,rect,72,126,132,87
231.png,200,200,rect,115,13,19,136
232.png,200,200,rect,87,132,153,155
233.png,200,200,rect,74,125,162,147
234.png,200,200,rect,117,138,140,185
235.png,200,200,rect,30,86,88,75
236.png,200,200,rect,95,114,136,102
237.png,200,200,rect,42,17,92,101
238.png,200,200,rect,7,160,175,53
239.png,200,200,rect,87,93,146,163
240.png,200,200,rect,61,40,66,125
241.png,200,200,rect,101,54,102,121
242.png,200,200,rect,62,66,139,134
243.png,200,200,rect,164,142,154,168
244.png,200,200,rect,142,25,82,182
245.png,200,200,rect,174,77,146,196
246.png,200,200,rect,134,54,102,192
247.png,200,200,rect,52,37,115,62
248.png,200,200,rect,75,96,131,81
249.png,200,200,rect,49,115,158,63
250.png,200,200,rect,2,6,75,16
251.png,200,200,rect,85,124,155,163
252.png,200,200,rect,58,84,116,131
253.png,200,200,rect,123,123,176,199
254.png,200,200,rect,84,41,106,109
255.png,200,200,rect,34,4,34,43
256.png,200,200,rect,63,40,61,124
257.png,200,200,rect,65,145,199,139
258.png,200,200,rect,42,53,75,52
259.png,200,200,rect,0,81,106,4
260.png,200,200,rect,127,11,77,197
261.png,200,200,rect,71,67,121,86
262.png,200,200,rect,132,149,169,187
263.png,200,200,rect,123,108,162,195
264.png,200,200,rect,55,124,163,101
265.png,200,200,rect,95,22,45,147
266.png,200,200,rect,79,5,68,83
267.png,200,200,rect,54,44,71,91
268.png,200,200,rect,50,147,191,53
269.png,200,200,rect,114,36,70,144
270.png,200,200,rect,104,40,45,120
271.png,200,200,rect,12,39,106,27
272.png,200,200,rect,115,14,74,121
273.png,200,200,rect,17,60,110,36
274.png,200,200,rect,89,65,104,141
275.png,200,200,rect,4,110,180,34
276.png,200,200,rect,95,116,152,131
277.png,200,200,rect,25,56,106,98
278.png,200,200,rect,90,96,159,158
279.png,200,200,rect,184,179,184,189
280.png,200,200,rect,3,154,199,52
281.png,200,200,rect,102,119,168,164
282.png,200,200,rect,35,23,83,41
283.png,200,200,rect,116,58,100,155
284.png,200,200,rect,127,177,194,184
285.png,200,200,rect,96,172,179,99
286.png,200,200,rect,133,22,58,150
287.png,200,200,rect,38,54,98,78
288.png,200,200,rect,107,113,133,160
289.png,200,200,rect,66,105,138,144
290.png,200,200,rect,71,79,117,77
291.png,200,200,rect,60,81,94,110
292.png,200,200,rect,125,70,114,152
293.png,200,200,rect,71,14,39,101
294.png,200,200,rect,68,117,158,87
295.png,200,200,rect,148,116,144,179
296.png,200,200,rect,81,113,156,133
297.png,200,200,rect,130,105,184,180
298.png,200,200,rect,9,124,155,59
299.png,200,200,rect,11,94,135,88
300.png,200,200,rect,150,141,188,179
301.png,200,200,rect,34,15,71,62
302.png,200,200,rect,1,13,71,42
303.png,200,200,rect,70,10,45,97
304.png,200,200,rect,42,56,97,86
305.png,200,200,rect,62,53,104,137
306.png,200,200,rect,141,85,98,192
307.png,200,200,rect,33,39,42,46
308.png,200,200,rect,53,116,166,105
309.png,200,200,rect,28,117,156,97
310.png,200,200,rect,39,66,121,96
311.png,200,200,rect,137,16,73,145
312.png,200,200,rect,168,101,172,196
313.png,200,200,rect,79,95,155,151
314.png,200,200,rect,84,61,118,152
315.png,200,200,rect,137,63,131,184
316.png,200,200,rect,128,9,25,181
317.png,200,200,rect,89,79,148,139
318.png,200,200,rect,12,37,85,34
319.png,200,200,rect,25,75,76,62
320.png,200,200,rect,64,22,98,109
321.png,200,200,rect,128,47,51,179
322.png,200,200,rect,148,17,60,172
323.png,200,200,rect,34,88,151,104
324.png,200,200,rect,148,153,198,156
325.png,200,200,rect,43,181,187,111
326.png,200,200,rect,78,74,124,153
327.png,200,200,rect,94,71,145,112
328.png,200,200,rect,181,31,100,185
329.png,200,200,rect,19,66,80,48
330.png,200,200,rect,27,40,86,57
331.png,200,200,rect,7,114,179,23
332.png,200,200,rect,10,25,73,86
333.png,200,200,rect,35,76,120,36
334.png,200,200,rect,27,87,150,79
335.png,200,200,rect,21,61,94,28
336.png,200,200,rect,99,8,27,118
337.png,200,200,rect,158,3,12,188
338.png,200,200,rect,81,129,171,132
339.png,200,200,rect,58,105,164,86
340.png,200,200,rect,84,37,69,148
341.png,200,200,rect,126,131,181,181
342.png,200,200,rect,35,67,133,111
343.png,200,200,rect,121,36,112,167
344.png,200,200,rect,57,58,60,86
345.png,200,200,rect,85,129,174,133
346.png,200,200,rect,118,30,89,191
347.png,200,200,rect,20,111,151,87
348.png,200,200,rect,34,119,175,105
349.png,200,200,rect,46,103,134,54
350.png,200,200,rect,43,51,94,54
351.png,200,200,rect,36,74,152,96
352.png,200,200,rect,5,126,178,70
353.png,200,200,rect,30,10,56,84
354.png,200,200,rect,62,29,70,97
355.png,200,200,rect,65,157,199,118
356.png,200,200,rect,21,60,136,88
357.png,200,200,rect,46,144,198,51
358.png,200,200,rect,137,103,151,189
359.png,200,200,rect,151,93,120,194
360.png,200,200,rect,161,109,148,183
361.png,200,200,rect,59,39,101,136
362.png,200,200,rect,63,28,102,109
363.png,200,200,rect,32,63,102,46
364.png,200,200,rect,36,3,16,112
365.png,200,200,rect,67,125,186,70
366.png,200,200,rect,28,124,175,93
367.png,200,200,rect,17,114,115,85
368.png,200,200,rect,23,65,83,53
369.png,200,200,rect,88,28,93,102
370.png,200,200,rect,60,98,141,136
371.png,200,200,rect,98,23,32,158
372.png,200,200,rect,142,107,136,192
373.png,200,200,rect,104,130,175,152
374.png,200,200,rect,74,153,176,153
375.png,200,200,rect,6,87,141,76
376.png,200,200,rect,17,131,176,93
377.png,200,200,rect,111,75,80,184
378.png,200,200,rect,90,133,175,138
379.png,200,200,rect,105,103,105,162
380.png,200,200,rect,87,80,158,125
381.png,200,200,rect,98,97,159,146
382.png,200,200,rect,178,100,106,193
383.png,200,200,rect,103,177,195,113
384.png,200,200,rect,3,117,149,54
385.png,200,200,rect,66,61,140,113
386.png,200,200,rect,5,63,99,23
387.png,200,200,rect,84,106,154,154
388.png,200,200,rect,126,52,97,139
389.png,200,200,rect,20,23,36,85
390.png,200,200,rect,47,70,133,98
391.png,200,200,rect,88,123,175,125
392.png,200,200,rect,40,33,88,106
393.png,200,200,rect,67,108,158,131
394.png,200,200,rect,60,70,71,126
395.png,200,200,rect,100,107,172,170
396.png,200,200,rect,45,93,147,101
397.png,200,200,rect,1,141,161,68
398.png,200,200,rect,22,58,126,70
399.png,200,200,rect,113,0,2,158
400.png,200,200,rect,81,33,87,112
401.png,200,200,rect,151,194,196,188
402.png,200,200,rect,14,28,99,78
403.png,200,200,rect,120,142,184,166
404.png,200,200,rect,102,82,150,167
405.png,200,200,rect,43,121,156,99
406.png,200,200,rect,52,93,158,91
407.png,200,200,rect,92,43,89,154
408.png,200,200,rect,54,91,152,126
409.png,200,200,rect,131,69,97,138
410.png,200,200,rect,13,90,167,59
411.png,200,200,rect,121,19,93,137
412.png,200,200,rect,34,77,153,67
413.png,200,200,rect,68,5,8,131
414.png,200,200,rect,100,149,152,143
415.png,200,200,rect,17,103,104,25
416.png,200,200,rect,52,83,85,113
417.png,200,200,rect,68,35,47,91
418.png,200,200,rect,81,57,74,108
419.png,200,200,rect,34,4,6,82
420.png,200,200,rect,63,64,90,124
421.png,200,200,rect,115,50,122,152
422.png,200,200,rect,66,6,85,121
423.png,200,200,rect,18,107,186,29
424.png,200,200,rect,90,84,93,142
425.png,200,200,rect,96,26,87,114
426.png,200,200,rect,155,103,165,199
427.png,200,200,rect,52,23,96,121
428.png,200,200,rect,49,137,156,100
429.png,200,200,rect,93,90,99,143
430.png,200,200,rect,25,48,65,82
431.png,200,200,rect,15,62,79,47
432.png,200,200,rect,72,99,124,100
433.png,200,200,rect,16,63,113,62
434.png,200,200,rect,59,36,53,89
435.png,200,200,rect,153,158,177,166
436.png,200,200,rect,77,85,151,96
437.png,200,200,rect,83,141,146,94
438.png,200,200,rect,46,102,148,77
439.png,200,200,rect,61,119,195,72
440.png,200,200,rect,40,139,173,65
441.png,200,200,rect,62,54,90,130
442.png,200,200,rect,9,96,146,19
443.png,200,200,rect,122,58,103,188
444.png,200,200,rect,3,85,117,60
445.png,200,200,rect,40,11,52,56
446.png,200,200,rect,68,29,108,132
447.png,200,200,rect,157,135,189,190
448.png,200,200,rect,26,192,194,101
449.png,200,200,rect,153,50,53,157
450.png,200,200,rect,92,37,49,134
451.png,200,200,rect,25,40,84,39
452.png,200,200,rect,52,58,87,108
453.png,200,200,rect,105,97,112,134
454.png,200,200,rect,110,182,183,167
455.png,200,200,rect,24,78,104,52
456.png,200,200,rect,69,187,194,101
457.png,200,200,rect,9,58,127,20
458.png,200,200,rect,23,152,156,37
459.png,200,200,rect,84,111,180,132
460.png,200,200,rect,50,0,66,81
461.png,200,200,rect,62,118,141,99
462.png,200,200,rect,33,88,167,105
463.png,200,200,rect,43,46,93,98
464.png,200,200,rect,112,114,148,124
465.png,200,200,rect,3,54,93,41
466.png,200,200,rect,99,10,26,158
467.png,200,200,rect,85,100,166,129
468.png,200,200,rect,133,160,169,157
469.png,200,200,rect,42,67,115,116
470.png,200,200,rect,125,4,58,126
471.png,200,200,rect,123,71,83,183
472.png,200,200,rect,148,86,157,174
473.png,200,200,rect,11,119,180,42
474.png,200,200,rect,26,64,85,44
475.png,200,200,rect,64,1,72,119
476.png,200,200,rect,138,113,137,196
477.png,200,200,rect,14,58,74,50
478.png,200,200,rect,148,129,191,194
479.png,200,200,rect,64,22,75,101
480.png,200,200,rect,1,73,101,49
481.png,200,200,rect,128,66,139,139
482.png,200,200,rect,74,32,105,142
483.png,200,200,rect,120,71,88,173
484.png,200,200,rect,125,191,197,154
485.png,200,200,rect,95,47,72,138
486.png,200,200,rect,55,24,73,107
487.png,200,200,rect,80,168,184,142
488.png,200,200,rect,23,112,157,62
489.png,200,200,rect,197,156,166,199
490.png,200,200,rect,86,68,131,125
491.png,200,200,rect,68,109,128,113
492.png,200,200,rect,149,58,136,187
493.png,200,200,rect,15,105,177,19
494.png,200,200,rect,37,47,82,94
495.png,200,200,rect,44,19,45,95
496.png,200,200,rect,111,89,140,148
497.png,200,200,rect,126,115,153,188
498.png,200,200,rect,95,19,48,169
499.png,200,200,rect,50,80,138,116
500.png,200,200,rect,119,88,93,177
501.png,200,200,rect,93,30,35,113
502.png,200,200,rect,31,112,164,51
503.png,200,200,rect,35,26,27,81
504.png,200,200,rect,92,125,196,169
505.png,200,200,rect,48,80,149,120
506.png,200,200,rect,52,161,180,113
507.png,200,200,rect,57,149,176,105
508.png,200,200,rect,7,36,79,60
509.png,200,200,rect,44,32,87,103
510.png,200,200,rect,37,151,172,88
511.png,200,200,rect,22,63,112,68
512.png,200,200,rect,97,90,135,121
513.png,200,200,rect,0,71,133,60
514.png,200,200,rect,115,31,80,124
515.png,200,200,rect,6,41,57,67
516.png,200,200,rect,50,131,181,105
517.png,200,200,rect,155,105,148,184
518.png,200,200,rect,139,78,137,199
519.png,200,200,rect,119,136,182,150
520.png,200,200,rect,157,103,173,169
521.png,200,200,rect,73,115,141,112
522.png,200,200,rect,35,18,26,99
523.png,200,200,rect,36,5,51,56
524.png,200,200,rect,48,63,96,66
525.png,200,200,rect,50,107,141,96
526.png,200,200,rect,5,101,138,53
527.png,200,200,rect,4,16,58,57
528.png,200,200,rect,29,34,66,104
529.png,200,200,rect,6,72,77,11
530.png,200,200,rect,70,108,177,104
531.png,200,200,rect,49,119,175,80
532.png,200,200,rect,61,139,196,87
533.png,200,200,rect,112,103,116,171
534.png,200,200,rect,186,100,161,192
535.png,200,200,rect,127,42,118,165
536.png,200,200,rect,89,115,179,147
537.png,200,200,rect,43,5,58,110
538.png,200,200,rect,53,116,163,117
539.png,200,200,rect,175,96,141,194
540.png,200,200,rect,138,122,150,179
541.png,200,200,rect,103,32,57,109
542.png,200,200,rect,87,110,182,121
543.png,200,200,rect,23,42,120,88
544.png,200,200,rect,11,6,64,16
545.png,200,200,rect,132,67,117,185
546.png,200,200,rect,84,77,154,115
547.png,200,200,rect,106,51,66,171
548.png,200,200,rect,77,130,184,124
549.png,200,200,rect,53,119,183,77
550.png,200,200,rect,56,174,198,129
551.png,200,200,rect,56,16,90,91
552.png,200,200,rect,103,112,157,163
553.png,200,200,rect,113,166,186,132
554.png,200,200,rect,67,130,159,122
555.png,200,200,rect,56,141,182,86
556.png,200,200,rect,120,88,95,156
557.png,200,200,rect,14,68,100,48
558.png,200,200,rect,113,151,193,115
559.png,200,200,rect,19,76,106,76
560.png,200,200,rect,160,102,114,185
561.png,200,200,rect,51,119,181,127
562.png,200,200,rect,133,21,29,163
563.png,200,200,rect,160,56,112,167
564.png,200,200,rect,48,18,53,108
565.png,200,200,rect,177,76,83,179
566.png,200,200,rect,109,125,163,115
567.png,200,200,rect,40,68,130,80
568.png,200,200,rect,156,34,104,188
569.png,200,200,rect,86,134,196,106
570.png,200,200,rect,58,109,139,85
571.png,200,200,rect,21,147,179,37
572.png,200,200,rect,98,128,161,102
573.png,200,200,rect,108,23,87,168
574.png,200,200,rect,2,75,113,26
575.png,200,200,rect,145,41,65,171
576.png,200,200,rect,29,45,116,108
577.png,200,200,rect,1,10,86,66
578.png,200,200,rect,67,32,59,99
579.png,200,200,rect,97,116,166,147
580.png,200,200,rect,107,72,124,147
581.png,200,200,rect,53,53,94,124
582.png,200,200,rect,99,128,153,147
583.png,200,200,rect,26,88,161,38
584.png,200,200,rect,117,68,139,192
585.png,200,200,rect,136,35,61,141
586.png,200,200,rect,7,157,176,35
587.png,200,200,rect,142,41,96,170
588.png,200,200,rect,133,74,134,167
589.png,200,200,rect,25,94,113,40
590.png,200,200,rect,57,150,158,80
591.png,200,200,rect,109,95,134,136
592.png,200,200,rect,69,141,199,89
593.png,200,200,rect,112,4,69,162
594.png,200,200,rect,7,19,77,50
595.png,200,200,rect,24,98,122,79
596.png,200,200,rect,111,86,163,118
597.png,200,200,rect,31,55,113,47
598.png,200,200,rect,153,48,57,165
599.png,200,200,rect,56,64,92,110
600.png,200,200,rect,94,19,75,130
601.png,200,200,rect,52,43,59,119
602.png,200,200,rect,112,100,131,185
603.png,200,200,rect,172,33,36,186
604.png,200,200,rect,52,109,115,118
605.png,200,200,rect,153,142,167,178
606.png,200,200,rect,10,68,147,81
607.png,200,200,rect,102,13,43,180
608.png,200,200,rect,95,8,68,146
609.png,200,200,rect,90,93,95,94
610.png,200,200,rect,33,134,161,85
611.png,200,200,rect,109,47,89,141
612.png,200,200,rect,97,115,186,166
613.png,200,200,rect,25,37,41,102
614.png,200,200,rect,4,132,194,78
615.png,200,200,rect,168,136,176,187
616.png,200,200,rect,81,72,101,104
617.png,200,200,rect,181,152,157,193
618.png,200,200,rect,10,44,87,84
619.png,200,200,rect,22,139,191,32
620.png,200,200,rect,110,70,111,176
621.png,200,200,rect,129,30,51,169
622.png,200,200,rect,121,86,117,193
623.png,200,200,rect,16,8,22,23
624.png,200,200,rect,137,157,161,185
625.png,200,200,rect,25,50,69,87
626.png,200,200,rect,91,60,130,108
627.png,200,200,rect,0,53,112,23
628.png,200,200,rect,95,118,170,167
629.png,200,200,rect,120,96,149,157
630.png,200,200,rect,91,2,40,162
631.png,200,200,rect,71,47,89,121
632.png,200,200,rect,147,32,94,169
633.png,200,200,rect,80,15,20,154
634.png,200,200,rect,99,194,196,146
635.png,200,200,rect,1,12,85,60
636.png,200,200,rect,165,60,138,190
637.png,200,200,rect,33,14,78,95
638.png,200,200,rect,18,78,155,79
639.png,200,200,rect,6,167,193,59
640.png,200,200,rect,58,105,169,103
641.png,200,200,rect,60,57,126,92
642.png,200,200,rect,152,125,198,180
643.png,200,200,rect,136,29,107,137
644.png,200,200,rect,118,130,168,147
645.png,200,200,rect,186,48,86,196
646.png,200,200,rect,14,20,84,55
647.png,200,200,rect,47,33,100,103
648.png,200,200,rect,113,32,36,115
649.png,200,200,rect,38,68,92,42
650.png,200,200,rect,111,132,143,125
651.png,200,200,rect,137,169,173,154
652.png,200,200,rect,98,23,88,127
653.png,200,200,rect,13,132,197,72
654.png,200,200,rect,146,169,170,152
655.png,200,200,rect,104,147,195,116
656.png,200,200,rect,22,26,77,89
657.png,200,200,rect,6,48,72,44
658.png,200,200,rect,128,75,122,184
659.png,200,200,rect,119,90,148,178
660.png,200,200,rect,99,55,66,140
661.png,200,200,rect,156,120,167,168
662.png,200,200,rect,3,54,96,78
663.png,200,200,rect,118,115,142,135
664.png,200,200,rect,80,122,129,126
665.png,200,200,rect,21,159,161,39
666.png,200,200,rect,20,138,152,76
667.png,200,200,rect,61,67,101,114
668.png,200,200,rect,131,9,47,194
669.png,200,200,rect,110,55,89,142
670.png,200,200,rect,25,87,147,78
671.png,200,200,rect,109,125,171,123
672.png,200,200,rect,105,139,177,150
673.png,200,200,rect,119,116,185,130
674.png,200,200,rect,1,10,65,34
675.png,200,200,rect,178,3,46,195
676.png,200,200,rect,106,41,92,158
677.png,200,200,rect,177,104,155,197
678.png,200,200,rect,91,114,178,170
679.png,200,200,rect,144,104,167,195
680.png,200,200,rect,87,125,172,94
681.png,200,200,rect,100,17,76,166
682.png,200,200,rect,70,85,161,107
683.png,200,200,rect,13,144,185,80
684.png,200,200,rect,9,20,80,21
685.png,200,200,rect,102,66,99,150
686.png,200,200,rect,44,40,45,64
687.png,200,200,rect,148,73,143,152
688.png,200,200,rect,7,143,193,24
689.png,200,200,rect,105,26,78,111
690.png,200,200,rect,8,70,137,21
691.png,200,200,rect,45,113,148,113
692.png,200,200,rect,60,63,133,127
693.png,200,200,rect,28,110,189,104
694.png,200,200,rect,61,27,80,82
695.png,200,200,rect,22,7,57,35
696.png,200,200,rect,2,138,180,78
697.png,200,200,rect,117,124,185,141
698.png,200,200,rect,53,106,171,114
699.png,200,200,rect,139,25,81,183
700.png,200,200,rect,24,146,182,101
701.png,200,200,rect,68,23,90,95
702.png,200,200,rect,64,144,163,140
703.png,200,200,rect,84,29,37,162
704.png,200,200,rect,156,70,77,184
705.png,200,200,rect,147,65,143,164
706.png,200,200,rect,95,17,79,106
707.png,200,200,rect,144,15,70,153
708.png,200,200,rect,56,80,136,113
709.png,200,200,rect,36,115,161,45
710.png,200,200,rect,43,27,41,47
711.png,200,200,rect,89,151,161,100
712.png,200,200,rect,62,5,40,109
713.png,200,200,rect,46,111,142,67
714.png,200,200,rect,81,137,146,92
715.png,200,200,rect,115,42,93,183
716.png,200,200,rect,184,42,63,198
717.png,200,200,rect,19,187,190,50
718.png,200,200,rect,125,56,67,137
719.png,200,200,rect,107,55,59,108
720.png,200,200,rect,163,19,21,191
721.png,200,200,rect,87,30,74,128
722.png,200,200,rect,87,36,112,110
723.png,200,200,rect,92,115,146,131
724.png,200,200,rect,53,25,74,101
725.png,200,200,rect,15,51,70,63
726.png,200,200,rect,116,37,67,170
727.png,200,200,rect,147,95,153,172
728.png,200,200,rect,119,157,159,152
729.png,200,200,rect,6,24,73,77
730.png,200,200,rect,58,56,123,119
731.png,200,200,rect,14,15,18,70
732.png,200,200,rect,69,88,138,138
733.png,200,200,rect,36,20,41,102
